"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Marion County, Georgia",0.418,0.031
"Meriwether County, Georgia",0.413,0.018
"Miller County, Georgia",0.479,0.035
"Mitchell County, Georgia",0.44,0.02
"Monroe County, Georgia",0.438,0.023
"Montgomery County, Georgia",0.454,0.024
"Morgan County, Georgia",0.529,0.04
"Murray County, Georgia",0.409,0.014
"Muscogee County, Georgia",0.472,0.009
"Newton County, Georgia",0.395,0.02
"Oconee County, Georgia",0.44,0.02
"Oglethorpe County, Georgia",0.427,0.035
"Paulding County, Georgia",0.347,0.011
"Peach County, Georgia",0.456,0.018
"Pickens County, Georgia",0.441,0.021
"Pierce County, Georgia",0.427,0.025
"Pike County, Georgia",0.38,0.02
"Polk County, Georgia",0.433,0.028
"Pulaski County, Georgia",0.412,0.033
"Putnam County, Georgia",0.51,0.047
"Quitman County, Georgia",0.394,0.041
"Rabun County, Georgia",0.483,0.045
"Randolph County, Georgia",0.558,0.097
"Richmond County, Georgia",0.464,0.01
"Rockdale County, Georgia",0.404,0.012
"Schley County, Georgia",0.426,0.033
"Screven County, Georgia",0.448,0.021
"Seminole County, Georgia",0.529,0.05
"Spalding County, Georgia",0.441,0.014
"Stephens County, Georgia",0.465,0.023
"Stewart County, Georgia",0.448,0.029
"Sumter County, Georgia",0.47,0.02
"Talbot County, Georgia",0.464,0.036
"Taliaferro County, Georgia",0.492,0.043
"Tattnall County, Georgia",0.44,0.02
"Taylor County, Georgia",0.519,0.044
"Telfair County, Georgia",0.484,0.028
"Terrell County, Georgia",0.496,0.057
"Thomas County, Georgia",0.518,0.025
"Tift County, Georgia",0.449,0.016
"Toombs County, Georgia",0.479,0.022
"Towns County, Georgia",0.405,0.03
"Treutlen County, Georgia",0.468,0.052
"Troup County, Georgia",0.438,0.012
"Turner County, Georgia",0.462,0.033
"Twiggs County, Georgia",0.489,0.04
"Union County, Georgia",0.462,0.032
"Upson County, Georgia",0.411,0.015
"Walker County, Georgia",0.426,0.013
"Walton County, Georgia",0.407,0.013
"Ware County, Georgia",0.465,0.019
"Warren County, Georgia",0.468,0.045
"Washington County, Georgia",0.449,0.022
"Wayne County, Georgia",0.445,0.026
"Webster County, Georgia",0.471,0.04
"Wheeler County, Georgia",0.395,0.034
"White County, Georgia",0.462,0.031
"Whitfield County, Georgia",0.448,0.014
"Wilcox County, Georgia",0.452,0.028
"Wilkes County, Georgia",0.487,0.036
"Wilkinson County, Georgia",0.437,0.028
"Worth County, Georgia",0.426,0.026
"Hawaii County, Hawaii",0.458,0.014
"Honolulu County, Hawaii",0.422,0.004
"Kalawao County, Hawaii",0.304,0.074
"Kauai County, Hawaii",0.422,0.015
"Maui County, Hawaii",0.431,0.013
"Ada County, Idaho",0.435,0.006
"Adams County, Idaho",0.48,0.053
"Bannock County, Idaho",0.429,0.014
"Bear Lake County, Idaho",0.381,0.026
"Benewah County, Idaho",0.374,0.021
"Bingham County, Idaho",0.429,0.035
"Blaine County, Idaho",0.431,0.032
"Boise County, Idaho",0.403,0.037
"Bonner County, Idaho",0.439,0.019
"Bonneville County, Idaho",0.424,0.011
"Boundary County, Idaho",0.426,0.075
"Butte County, Idaho",0.416,0.033
"Camas County, Idaho",0.375,0.04
"Canyon County, Idaho",0.401,0.011
"Caribou County, Idaho",0.362,0.024
"Cassia County, Idaho",0.441,0.034
"Clark County, Idaho",0.381,0.071
"Clearwater County, Idaho",0.389,0.025
"Custer County, Idaho",0.414,0.033
"Elmore County, Idaho",0.375,0.018
"Franklin County, Idaho",0.394,0.037
"Fremont County, Idaho",0.381,0.023
"Gem County, Idaho",0.409,0.026
"Gooding County, Idaho",0.413,0.028
"Idaho County, Idaho",0.424,0.046
"Jefferson County, Idaho",0.367,0.021
"Jerome County, Idaho",0.389,0.02
"Kootenai County, Idaho",0.431,0.014
"Latah County, Idaho",0.452,0.015
"Lemhi County, Idaho",0.449,0.053
"Lewis County, Idaho",0.375,0.017
"Lincoln County, Idaho",0.375,0.032
"Madison County, Idaho",0.449,0.021
"Minidoka County, Idaho",0.379,0.027
"Nez Perce County, Idaho",0.431,0.022
"Oneida County, Idaho",0.374,0.039
"Owyhee County, Idaho",0.437,0.033
"Payette County, Idaho",0.394,0.02
"Power County, Idaho",0.385,0.05
"Shoshone County, Idaho",0.386,0.016
"Teton County, Idaho",0.359,0.033
"Twin Falls County, Idaho",0.398,0.012
"Valley County, Idaho",0.396,0.027
"Washington County, Idaho",0.443,0.03
"Adams County, Illinois",0.453,0.017
"Alexander County, Illinois",0.44,0.041
"Bond County, Illinois",0.414,0.017
"Boone County, Illinois",0.423,0.018
"Brown County, Illinois",0.469,0.084
"Bureau County, Illinois",0.423,0.028
"Calhoun County, Illinois",0.42,0.034
"Carroll County, Illinois",0.434,0.036
"Cass County, Illinois",0.389,0.02
"Champaign County, Illinois",0.477,0.008
"Christian County, Illinois",0.429,0.026
"Clark County, Illinois",0.431,0.024
"Clay County, Illinois",0.436,0.02
"Clinton County, Illinois",0.394,0.015
"Coles County, Illinois",0.488,0.025
"Cook County, Illinois",0.488,0.002
"Crawford County, Illinois",0.406,0.016
"Cumberland County, Illinois",0.418,0.025
"DeKalb County, Illinois",0.416,0.01
"De Witt County, Illinois",0.413,0.038
"Douglas County, Illinois",0.381,0.017
"DuPage County, Illinois",0.442,0.005
"Edgar County, Illinois",0.42,0.015
"Edwards County, Illinois",0.414,0.027
"Effingham County, Illinois",0.439,0.029
"Fayette County, Illinois",0.435,0.028
"Ford County, Illinois",0.397,0.02
"Franklin County, Illinois",0.413,0.009
"Fulton County, Illinois",0.399,0.011
"Gallatin County, Illinois",0.478,0.047
"Greene County, Illinois",0.435,0.056
"Grundy County, Illinois",0.373,0.015
"Hamilton County, Illinois",0.458,0.063
"Hancock County, Illinois",0.419,0.021
"Hardin County, Illinois",0.452,0.035
"Henderson County, Illinois",0.407,0.027
"Henry County, Illinois",0.411,0.013
"Iroquois County, Illinois",0.397,0.013
"Jackson County, Illinois",0.509,0.012
"Jasper County, Illinois",0.372,0.022
"Jefferson County, Illinois",0.454,0.024
"Jersey County, Illinois",0.385,0.021
"Jo Daviess County, Illinois",0.408,0.02
"Johnson County, Illinois",0.398,0.019
"Kane County, Illinois",0.421,0.006
"Kankakee County, Illinois",0.413,0.011
"Kendall County, Illinois",0.332,0.01
