Date,Data,Expected,Detection
24Aug13,2,1.464,0.343
23Aug13,1,1.429,0.685
22Aug13,0,1.393,0.5
21Aug13,2,1.357,0.154
20Aug13,2,1.25,0.094
19Aug13,1,1.357,0.205
18Aug13,4,1.357,0.024
17Aug13,2,1.357,0.323
16Aug13,1,1.357,0.619
15Aug13,1,1.321,0.584
14Aug13,1,1.393,0.55
13Aug13,2,1.393,0.338
12Aug13,1,1.357,0.597
11Aug13,1,1.321,0.497
10Aug13,2,1.286,0.313
09Aug13,1,1.25,0.506
08Aug13,1,1.321,0.452
07Aug13,3,1.25,0.118
06Aug13,0,1.321,0.5
05Aug13,2,1.286,0.335
04Aug13,0,1.321,0.5
03Aug13,1,1.286,0.438
02Aug13,1,1.286,0.294
01Aug13,2,1.214,0.092
31Jul13,3,1.286,0.079
30Jul13,3,1.25,0.114
29Jul13,0,1.25,0.5
28Jul13,1,1.214,0.57
27Jul13,1,1.179,0.557
26Jul13,1,1.214,0.568
25Jul13,1,1.214,0.569
24Jul13,1,1.25,0.584
23Jul13,1,1.357,0.63
22Jul13,0,1.214,0.5
21Jul13,1,1.179,0.098
20Jul13,5,1.179,0.003
19Jul13,1,1.143,0.532
18Jul13,1,1.107,0.472
17Jul13,1,1,0.341
16Jul13,1,1,0.248
15Jul13,3,1.143,0.116
14Jul13,1,1.214,0.566
13Jul13,1,1.321,0.62
12Jul13,0,1.286,0.5
11Jul13,0,1.321,0.5
10Jul13,2,1.56,0.379
09Jul13,2,1.64,0.451
08Jul13,0,1.826,0.5
07Jul13,2,1.826,0.502
06Jul13,0,1.913,0.5
05Jul13,2,1.826,0.473
04Jul13,1,1.826,0.669
03Jul13,3,1.6,0.205
02Jul13,1,1.783,0.693
01Jul13,2,1.826,0.505
30Jun13,0,1.72,0.5
29Jun13,1,1.76,0.738
28Jun13,0,1.72,0.5
27Jun13,0,1.8,0.5
26Jun13,2,1.8,0.47
25Jun13,1,1.84,0.713
24Jun13,1,1.8,0.599
23Jun13,4,1.88,0.107
22Jun13,1,2.04,0.766
21Jun13,0,2.038,0.5
20Jun13,1,1.964,0.758
19Jun13,0,2.036,0.5
18Jun13,0,2.036,0.5
17Jun13,0,1.893,0.5
16Jun13,1,1.857,0.235
15Jun13,5,1.821,0.02
14Jun13,2,1.857,0.309
13Jun13,3,1.821,0.225
12Jun13,1,1.821,0.429
11Jun13,3,1.714,0.106
10Jun13,2,1.714,0.196
09Jun13,4,1.679,0.058
08Jun13,1,1.75,0.622
07Jun13,2,1.714,0.399
06Jun13,3,1.786,0.241
05Jun13,1,1.857,0.732
04Jun13,1,1.964,0.767
03Jun13,0,1.929,0.5
02Jun13,1,2,0.734
01Jun13,2,2,0.527
31May13,1,2.071,0.768
30May13,1,2,0.717
29May13,1,2,0.549
28May13,3,2.107,0.339
27May13,1,2.179,0.502
26May13,5,2.25,0.099
25May13,0,2.286,0.5
24May13,2,2.286,0.354
23May13,5,2.393,0.112
22May13,2,2.464,0.597
21May13,2,2.536,0.615
20May13,2,2.536,0.633
19May13,1,2.679,0.81
18May13,1,2.714,0.814
17May13,1,2.75,0.807
16May13,2,2.786,0.661
15May13,2,2.857,0.675
14May13,2,3,0.702
13May13,2,3.107,0.74
12May13,1,3.107,0.867
11May13,1,3.036,0.86
10May13,1,3.179,0.85
09May13,5,3.214,0.227
08May13,0,3.286,0.5
07May13,3,3.393,0.6
06May13,2,3.536,0.771
